	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplevar	exectime
0	R21	['qtm,qsm,pm,tm,var_l,skew_l']	False	0.2	decision_tree	10	625	0.14691369235515594	0.12142043296770752	0.8244394686321215	0:01:09.178149
1	R21	['qtm,qsm,pm,tm,var_l,skew_l']	False	0.2	gradient_boost	10	625	0.1470351219177246	0.14072171521997748	0.9735348121995016	2:02:48.303963
0	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	decision_tree	10	1	0.09875908493995668	0.092724341362522	0.8863673542799421	0:00:00.162608
1	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	decision_tree	10	5	0.12011588364839555	0.10898072947895218	0.9077877979111848	0:00:00.776977
2	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	decision_tree	10	25	0.13068509101867676	0.11978961062780398	0.9154528218614792	0:00:03.483874
3	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	decision_tree	10	125	0.13951894640922546	0.12721436769384026	0.9116782928369918	0:00:16.803367
0	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	random_forest	10	625	0.14698344469070435	0.07057250619530557	0.599345374426163	0:02:46.424837
0	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	gradient_boost	10	1	0.10909188538789749	0.10295860411936152	0.9656101975443956	0:00:18.017757
1	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	random_forest	10	1	0.10612840950489044	0.06932608047009775	0.7698675857249851	0:00:00.355084
2	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	gradient_boost	10	05	0.12075848877429962	0.11517724480400308	0.9710409685576485	0:01:21.125191
3	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	random_forest	10	05	0.12097125500440598	0.07483527478191002	0.7182117184817752	0:00:01.596939
4	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	gradient_boost	10	025	0.12915658950805664	0.1241153142015939	0.9744880414441013	0:06:21.611433
5	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	random_forest	10	025	0.13025544583797455	0.0776915109849578	0.7185330215193168	0:00:07.118856
6	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	gradient_boost	10	0125	0.13916100561618805	0.1342226575782982	0.9755103341088655	0:29:20.130573
7	R12	['qtm,qsm,pm,tm,skew_l,var_l']	False	0.2	random_forest	10	0125	0.13835223019123077	0.08442422325273305	0.6866817987370545	0:00:31.571136
