	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime	RMSE	feature_importances
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.515339	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983935	0.9160877036470707	0:00:01.217511	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.1104228286247741	0.8935189541074714	0:00:05.734837	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817222	0.8246539878602571	0:00:24.846065	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:53.413208	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.222590	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.796968	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:04.333139	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:19.249536	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:24.810702	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.516493	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983935	0.9160877036470707	0:00:01.361407	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.632256	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817221	0.8246539878602571	0:00:25.100997	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:52.837425	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.204108	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.971391	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:04.006166	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:19.680942	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:20.613267	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.414775	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983935	0.9160877036470707	0:00:01.217085	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.642047	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817221	0.8246539878602571	0:00:25.215563	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:53.612759	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.210548	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.972221	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:03.991160	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:19.631816	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:21.160403	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.415336	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983937	0.9160877036470707	0:00:01.218699	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.532717	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817221	0.8246539878602571	0:00:24.920621	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:54.738634	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.230920	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.800789	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:03.943592	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:19.950316	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:20.694778	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.415263	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983935	0.9160877036470707	0:00:01.217193	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.536279	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817221	0.8246539878602571	0:00:25.940930	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:53.725978	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.203902	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.971469	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:04.171305	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:19.450170	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:20.551211	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.414628	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983937	0.9160877036470707	0:00:01.218201	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.536714	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	0125	0.13839203	0.10653890222817222	0.8246539878602571	0:00:24.817930	0.078646876	{'qtm': 0.12962972, 'qsm': 0.07067655, 'pm': 0.0, 'tm': 0.0, 'qlm': 0.7996937, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	00625	0.14699048	0.08253133201319954	0.6055740975965039	0:01:55.126602	0.117152885	{'qtm': 0.081432834, 'qsm': 0.0, 'pm': 0.16906425, 'tm': 0.07654085, 'qlm': 0.67296207, 'var_l': 0.0, 'var_t': 0.0}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	1	0.110058434	0.10769372915804577	0.9621805974182607	0:00:00.207506	0.030039087	{'qtm': 0.02311101, 'qsm': 0.016044604, 'pm': 0.026552487, 'tm': 0.01092658, 'qlm': 0.9033033, 'var_l': 0.0032601794, 'var_t': 0.016801812}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	05	0.11757816	0.11419559526586277	0.9531657512703574	0:00:00.971619	0.03562543	{'qtm': 0.047176126, 'qsm': 0.021910002, 'pm': 0.026736686, 'tm': 0.008032991, 'qlm': 0.8728506, 'var_l': 0.0037716692, 'var_t': 0.01952192}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	025	0.12899993	0.12181540833730417	0.9429706662082381	0:00:04.057710	0.04294143	{'qtm': 0.07600785, 'qsm': 0.04572922, 'pm': 0.022790907, 'tm': 0.0049078087, 'qlm': 0.81695527, 'var_l': 0.0013504187, 'var_t': 0.032258507}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	0125	0.13839203	0.12321808965455279	0.8853359223057583	0:00:18.770476	0.06434973	{'qtm': 0.21197045, 'qsm': 0.127891, 'pm': 0.015337913, 'tm': 0.0033678862, 'qlm': 0.613952, 'var_l': 0.00082593306, 'var_t': 0.026654847}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	decision_tree	10	00625	0.14699048	0.110724829689053	0.7526271942404236	0:01:20.092906	0.0967855	{'qtm': 0.13455659, 'qsm': 0.093344785, 'pm': 0.13434176, 'tm': 0.06335323, 'qlm': 0.55098253, 'var_l': 0.00084170117, 'var_t': 0.022579413}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	1	0.110058434	0.10336776295943177	0.9437621745782659	0:00:00.414479	0.036393642	{'qtm': 0.0031736374, 'qsm': 0.0012038377, 'pm': 0.008599218, 'tm': 0.00043288321, 'qlm': 0.98532045, 'var_l': 0.0, 'var_t': 0.0012699635}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	05	0.11757816	0.10544041122983937	0.9160877036470707	0:00:01.318748	0.047201008	{'qtm': 0.011930629, 'qsm': 0.0011716603, 'pm': 0.005832609, 'tm': 0.0, 'qlm': 0.97437096, 'var_l': 0.0, 'var_t': 0.006694142}
0	R023	['qtm,qsm,pm,tm,qlm,var_l,var_t']	False	0.2	random_forest	10	025	0.12899993	0.11042282862477411	0.8935189541074716	0:00:05.438680	0.058126524	{'qtm': 0.037698507, 'qsm': 0.018340494, 'pm': 0.0040287133, 'tm': 0.0, 'qlm': 0.92238134, 'var_l': 0.0, 'var_t': 0.017550942}
