	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	decision_tree	10	1	0.10998654365539552	0.1070096308947052	0.9575080213689442	0:00:00.387839
1	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	decision_tree	10	05	0.11756731569766996	0.11356487147969427	0.9546536405507642	0:00:00.940165
2	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	decision_tree	10	025	0.13006238639354706	0.12291111676885667	0.9355051666787448	0:00:03.458986
3	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	decision_tree	10	0125	0.13950881361961365	0.12350612348477445	0.8881462111084208	0:00:15.345261
0	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	decision_tree	10	00625	0.14716292917728424	0.11179777483973533	0.7594282627871421	0:01:07.986980
1	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	random_forest	10	00625	0.14701445400714874	0.08392095982350951	0.6270700068627666	0:03:43.644788
0	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	gradient_boost	10	1	0.10795150697231293	0.10635761780569736	0.9804058495148796	0:00:16.698528
1	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	random_forest	10	1	0.1062927097082138	0.09814788268013937	0.9419925172015682	0:00:00.391383
0	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	gradient_boost	10	05	0.12156182527542116	0.1190373610628071	0.9842322952868248	0:01:14.692757
1	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	random_forest	10	05	0.11861040443181993	0.10357337621059838	0.9084566549466392	0:00:01.997742
2	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	gradient_boost	10	025	0.12896513938903809	0.12682038607197516	0.9850503271947724	0:05:47.679585
3	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	random_forest	10	025	0.12910479307174685	0.11144539415476208	0.8910725213514682	0:00:09.601798
4	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	gradient_boost	10	0125	0.1386142373085022	0.1355226924851846	0.9861807308191608	0:26:06.818198
5	R30	['qtm,qsm,pm,tm,var_t,qlm']	False	0.2	random_forest	10	0125	0.1378708928823471	0.10629726217685873	0.8084484165315526	0:00:45.197974
0	R03	['qtm,qsm,pm,tm,qlm,var_t']	False	0.2	random_forest	10	1	0.10826215147972107	0.1008057680287515	0.9422616943463155	0:00:00.413252
1	R03	['qtm,qsm,pm,tm,qlm,var_t']	False	0.2	random_forest	10	05	0.12087031453847885	0.10778456330878912	0.914605034333567	0:00:01.217835
2	R03	['qtm,qsm,pm,tm,qlm,var_t']	False	0.2	random_forest	10	025	0.13030752539634705	0.11267867251223779	0.8937535232956271	0:00:05.032350
3	R03	['qtm,qsm,pm,tm,qlm,var_t']	False	0.2	random_forest	10	0125	0.138624906539917	0.10580747495514749	0.8221279793601021	0:00:27.493544
4	R03	['qtm,qsm,pm,tm,qlm,var_t']	False	0.2	random_forest	10	00625	0.1470378041267395	0.08362282041941492	0.6239132747256217	0:02:03.662406
