	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	decision_tree	10	00625	0.14689533412456512	0.12301789371051235	0.8338148523127513	0:00:58.133614
1	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	gradient_boost	10	00625	0.14692118763923645	0.14102724287004595	0.976369722039054	1:42:45.158784
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	decision_tree	10	1	0.10522091388702393	0.09689281844668077	0.8952705578078725	0:00:00.146355
1	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	decision_tree	10	05	0.1204354465007782	0.11031658053958536	0.9134870230167674	0:00:00.626013
2	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	decision_tree	10	025	0.12906520068645475	0.11761339105065405	0.9067023843494376	0:00:03.099255
3	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	decision_tree	10	0125	0.1391848474740982	0.12687709996879015	0.9092598444110082	0:00:13.746977
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	00625	0.14672957360744476	0.06843828593987585	0.5983727387999833	0:02:12.969549
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	gradient_boost	10	1	0.11245616525411606	0.1050644175545197	0.960422214622956	0:00:15.691082
1	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	1	0.10669375956058502	0.06872572683427372	0.7706710515292838	0:00:00.302684
2	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	gradient_boost	10	05	0.11733773350715634	0.11228758776672797	0.9684315748688788	0:01:10.947688
3	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	05	0.120504230260849	0.07239133605655304	0.7337023934620744	0:00:01.308126
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	gradient_boost	10	025	0.12988577783107758	0.12518247449070732	0.9746540021328154	0:05:26.607038
1	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	025	0.12965042889118195	0.07769328948353554	0.7191406212038521	0:00:05.808320
2	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	gradient_boost	10	0125	0.13897748291492462	0.13457843031927078	0.9773699768440288	0:24:46.985822
3	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	0125	0.13902470469474792	0.08465659286576012	0.6838116477429892	0:00:28.969501
0	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	1	0.11197671294212341	0.07011285034763888	0.7716332481079926	0:00:00.311058
1	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	05	0.1195819228887558	0.0721599851313632	0.7429331087634972	0:00:00.714032
2	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	025	0.13027112185955048	0.07761635777434633	0.7263218837837999	0:00:02.819882
3	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	0125	0.13947772979736328	0.0809118720742972	0.712933129650997	0:00:13.694064
4	R3	['qtm,qsm,pm,tm,var_t']	False	0.2	random_forest	10	00625	0.14696122705936432	0.06806499517094629	0.6051483438896351	0:01:04.866419
